ZCTA,Accessibility_Score
39854,0
31822,0
31906,0
39862,0
39885,0
31827,0
31829,0
31907,0
39886,0
31727,0
30598,0
39832,0
31599,0
30111,0
30090,0
31421,0
30272,0
30639,0
30539,0
30597,0
30229,0
31034,0
31564,0
