address,address_clean,lat,lon
"7000 WELLNESS WAY, ST SIMONS ISLAND, Georgia 31522","7000 WELLNESS WAY, ST SIMONS ISLAND, Georgia 31522",31.147044,-81.387356
"250 WEST PINE STREET, COLQUITT, Georgia 39837-3532","250 WEST PINE STREET, COLQUITT, Georgia 39837",31.1742357,-84.7370784
"103 WEST PINE ST, COLQUITT, Georgia 39837-3434","103 WEST PINE ST, COLQUITT, Georgia 39837",31.1742357,-84.7370784
"208 N CUTHBERT STREET, COLQUITT, Georgia 39837-3517","208 N CUTHBERT STREET, COLQUITT, Georgia 39837",31.1743949,-84.7346654
"2314 STARLING STREET, BRUNSWICK, Georgia 31520-4215","2314 STARLING STREET, BRUNSWICK, Georgia 31520",31.1757497,-81.4871601
"3208 SHRINE ROAD, BRUNSWICK, Georgia 31520-4325","3208 SHRINE ROAD, BRUNSWICK, Georgia 31520",31.1776481,-81.4814446
"214 WEST CENTRAL AVENUE, MOULTRIE, Georgia 31768-3834","214 WEST CENTRAL AVENUE, MOULTRIE, Georgia 31768",31.1800404,-83.7927245
"2747 FOURTH STREET, BRUNSWICK, Georgia 31520-3714","2747 FOURTH STREET, BRUNSWICK, Georgia 31520",31.180809,-81.481072
"2747 4TH STREET, BRUNSWICK, Georgia 31520-3714","2747 4TH STREET, BRUNSWICK, Georgia 31520",31.181817,-81.4798303
"3300 FOURTH STREET, BRUNSWICK, Georgia 31520","3300 FOURTH STREET, BRUNSWICK, Georgia 31520",31.18221,-81.475962
"600-A S. JEFFERSON ST., NASHVILLE, Georgia 31639-2651","600-A S. JEFFERSON ST., NASHVILLE, Georgia 31639",31.1984857,-83.2502019
"1701-3 BOULEVARD SQUARE, WAYCROSS, Georgia 31501","1701-3 BOULEVARD SQUARE, WAYCROSS, Georgia 31501",31.2095305,-82.3340945
"218 QUARTERMAN STREET, WAYCROSS, Georgia 31501-3547","218 QUARTERMAN STREET, WAYCROSS, Georgia 31501",31.2178287,-82.3512159
"173 FLORIDA AVENUE, NAHUNTA, Georgia 31553-6053","173 FLORIDA AVENUE, NAHUNTA, Georgia 31553",31.21811,-81.9817185
"1102 PLANT AVENUE, WAYCROSS, Georgia 31501","1102 PLANT AVENUE, WAYCROSS, Georgia 31501",31.2182388,-82.3479187
"106 SHOPPERS WAY, BRUNSWICK, Georgia 31525","106 SHOPPERS WAY, BRUNSWICK, Georgia 31525",31.219299,-81.48826
"303 DARLING AVENUE, WAYCROSS, Georgia 31501-5223","303 DARLING AVENUE, WAYCROSS, Georgia 31501",31.2229914,-82.3466074
"604 RIVERSIDE AVENUE, WAYCROSS, Georgia 31501-5323","604 RIVERSIDE AVENUE, WAYCROSS, Georgia 31501",31.2243091,-82.3530447
"25 PERRY STREET, CAMILLA, Georgia 31730-1813","25 PERRY STREET, CAMILLA, Georgia 31730",31.230213,-84.206195
"88 W. OAKLAND AVENUE, CAMILLA, Georgia 31730-1254","88 W. OAKLAND AVENUE, CAMILLA, Georgia 31730",31.2326314,-84.2119324
"94 E OAKLAND AVE, CAMILLA, Georgia 31730-1705","94 E OAKLAND AVE, CAMILLA, Georgia 31730",31.2326762,-84.2052603
"801 BEACON STREET, WAYCROSS, Georgia 31501-7109","801 BEACON STREET, WAYCROSS, Georgia 31501",31.239474,-82.35749
"1000 NEWTON ROAD, CAMILLA, Georgia 31730","1000 NEWTON ROAD, CAMILLA, Georgia 31730",31.2434105,-84.2393162
"1111 GLYNCO PKWY STE 31, BRUNSWICK, Georgia 31523-6381","1111 GLYNCO PKWY STE 31, BRUNSWICK, Georgia 31523",31.247736,-81.483323
"461 ALBANY AVENUE EAST, PEARSON, Georgia 31642-0000","461 ALBANY AVENUE EAST, PEARSON, Georgia 31642",31.2965597,-82.8434122
"715 WARE STREET, BLACKSHEAR, Georgia 31516","715 WARE STREET, BLACKSHEAR, Georgia 31516",31.30232,-82.2518543
"125 HOBBS ST, BLACKSHEAR, Georgia 31516","125 HOBBS ST, BLACKSHEAR, Georgia 31516",31.3131289,-82.2412443
"327 SUNSET AVENUE, NEWTON, Georgia 39870-7343","327 SUNSET AVENUE, NEWTON, Georgia 39870",31.313475,-84.3443575
"618 FLOWERS DRIVE, BLAKELY, Georgia 39823-2804","618 FLOWERS DRIVE, BLAKELY, Georgia 39823",31.3702497,-84.9470964
"360 COLLEGE STREET, BLAKELY, Georgia 39823-2554","360 COLLEGE STREET, BLAKELY, Georgia 39823",31.3793085,-84.9381901
"283 MARTIN LUTHER KING JR. BLVD, BLAKELY, Georgia 39823","283 MARTIN LUTHER KING JR. BLVD, BLAKELY, Georgia 39823",31.3904604,-84.9409796
"1305 E. SECOND AVENUE, ALBANY, Georgia 31705","1305 E. SECOND AVENUE, ALBANY, Georgia 31705",31.402984,-83.982118
"103 R.E. JENNINGS AVE SE, ARLINGTON, Georgia 39813","103 R.E. JENNINGS AVE SE, ARLINGTON, Georgia 39813",31.4381752,-84.7218539
"1909 US HWY 82, TIFTON, Georgia 31793","1909 US HWY 82, TIFTON, Georgia 31793",31.4459128,-83.544258
"305 E. 12TH ST., TIFTON, Georgia 31794","305 E. 12TH ST., TIFTON, Georgia 31794",31.4628969,-83.5047628
"215 12TH STREET W, TIFTON, Georgia 31794","215 12TH STREET W, TIFTON, Georgia 31794",31.4644357,-83.5093965
"1205 NORTH TIFT AVENUE, TIFTON, Georgia 31794-4033","1205 NORTH TIFT AVENUE, TIFTON, Georgia 31794",31.4658319,-83.502855
"72 KENT ROAD, TIFTON, Georgia 31794","72 KENT ROAD, TIFTON, Georgia 31794",31.472822,-83.4843304
"39 KENT ROAD SUIT 5, TIFTON, Georgia 31794-2749","39 KENT ROAD SUIT 5, TIFTON, Georgia 31794",31.474041,-83.485278
"1111 W. BAKER HIGHWAY WEST, DOUGLAS, Georgia 31533-2107","1111 W. BAKER HIGHWAY WEST, DOUGLAS, Georgia 31533",31.5009372,-82.8632576
"310 WEST BRYAN ST., DOUGLAS, Georgia 31533-2123","310 WEST BRYAN ST., DOUGLAS, Georgia 31533",31.506464,-82.853743
"1020 W BRYAN STREET, DOUGLAS, Georgia 31533-2328","1020 W BRYAN STREET, DOUGLAS, Georgia 31533",31.5067923,-82.8618755
"303 SHIRLEY AVENUE SUITE B, DOUGLAS, Georgia 31533","303 SHIRLEY AVENUE SUITE B, DOUGLAS, Georgia 31533",31.5075132,-82.8616551
"100 DOCTORS DRIVE, DOUGLAS, Georgia 31533-2211","100 DOCTORS DRIVE, DOUGLAS, Georgia 31533",31.5109445,-82.8662708
"203 WEST KELLY STREET, SYLVESTER, Georgia 31791","203 WEST KELLY STREET, SYLVESTER, Georgia 31791",31.5276302,-83.8391034
