ZCTA,lat,lon,pop_below_18
30165,34.30278814,-85.27242734,10301.251
30058,33.737695445410786,-84.1078269,16174.075
30083,33.79638814733612,-84.19233914,13730.745
30084,33.85455928065487,-84.21660047,8385.7246
30087,33.81082048537419,-84.13128283,8054.6679
30157,33.88640133453392,-84.87314405,12720.934
30170,33.43067625422915,-85.16816857,847.80693
30173,34.13536365492883,-85.14217225,1491.9183
30222,33.04113056659446,-84.74298293,803.65514
30277,33.379585177516255,-84.64768268,5335.3268
30309,33.79796786048589,-84.38763999,2079.1871
30331,33.706248615799275,-84.54442375,16680.661
30410,32.186540372845954,-82.51765745,362.18955
30425,32.64735079,-82.02334719,338.13535
30461,32.50718645260898,-81.71930846,3662.789
30531,34.51015998885744,-83.59110946,2728.6094
30548,34.09311943231192,-83.76448873,5846.3309
30577,34.55551019621259,-83.32631735,4884.1051
30660,33.78235247846225,-82.94371914,300.69109
30705,34.74705613249444,-84.74933687,8261.0214
30813,33.470355070127304,-82.21929419,12132.781
30818,33.267649271235065,-82.32647963,119.23946
30904,33.478557580537256,-82.01316877,6029.0048
31017,32.62072949021172,-83.23309568,329.36756
31049,32.682798245598924,-82.52635202,440.22175
31063,32.29250085255032,-83.96481628,1094.7576
31075,32.35424332434221,-82.95276851,528.80727
31308,32.175793021310625,-81.48022315,1954.0318
31324,31.855244233162303,-81.26814443,8465.3806
31547,30.79093895560174,-81.53436705,356.43933
31563,31.73644690230979,-82.18292991,312.57458
31639,31.212384528814507,-83.19250156,2365.2993
31716,31.36513205539095,-84.11443263,667.83477
31781,31.56063664,-83.79315805,338.63944
31836,32.79188772164092,-84.54894287,167.71915
39842,31.758242368600204,-84.44306161,1790.1684
30005,34.08577073177012,-84.22160824,10735.901
30025,33.656860996970444,-83.69869301,2180.0394
30032,33.73986289168534,-84.2641147,10739.757
30033,33.813429476689834,-84.28346795,5430.5604
30088,33.75960289631897,-84.1792414,7306.578
30103,34.36455274901692,-84.92014594,3292.1538
30113,33.85310663909303,-85.20966238,1395.1602
30236,33.521522295385886,-84.32399042,13508.95
30296,33.563488595276006,-84.44257575,7234.5635
30336,33.737175527525366,-84.56774138,304.95084
30413,32.88458687484397,-82.51395441,300.58727
30450,32.55963802211336,-81.93317031,618.24851
